Date,Code1,Code2,Criticality,Please can you tell us why you gave this answer.
2020-05-19,CC,NA,4,I have had a really comfortable stay whilst here on XXX with excellent treatment
2020-07-09,CC,SP,4,I have had the best treatment from the most caring professional staff and can think this is the best ward ever
2020-08-12,CC,MM,4,I have just a few experiences as a patient but as a carer many. This is the best ward that I have seen for care and communications. Excellent!
2020-08-20,CC,NA,2,"I have never had a previous long hospital stay, so would find it difficult to comment.  But I was perfectly comfortable, and felt that I could ask if I needed anything!  The staff could always say no!"
2020-07-06,EQ,NA,1,I like the decorations it is always so cheerful and bright
2020-06-18,EC,NA,2,I like the room i am in its very clean
2020-07-29,CC,NA,1,I liked it here felt cared for
2020-08-17,SS,NA,3,I received holistic gentle nursing care from all the staff. From delivery of endless tea by kitchen staff to the porters everyone has been amazing.
2020-06-29,XE,NA,3,I think is everything good
2020-06-04,SS,NA,2,"I think the staff here are fantastic, kind and understanding."
2020-06-25,SP,CE,3,I thought the staff were both friendly and professional and instilled confidence in me that I was receiving the best possible care and attention.
2020-07-22,SP,SA,3,"I thought the staff were very receptive, friendly, and seemed very professional in their attitude."
2020-07-24,SS,NA,3,I want the nurses to get the recognition they deserve
2020-06-10,SS,NA,2,I want to we’re all nice people your all special to help people like me
2020-08-28,SP,EQ,-3,I was a bit disappointed in the care I received on one of the wards before coming onto this one the staff were quite cold towards the patients and the lack of any radios made the time drag on
2020-07-13,SP,NA,3,I was attended to very professionally
2020-07-30,CC,NA,3,I was brilliantly looked after
2020-07-09,WA,CR,3,I was given all the help I needed quickly and with great care
2020-06-10,CE,SA,3,I was happy most times with staff always to reassure  Me I was in good hands
2020-06-22,MI,NA,2,I was kept informed of how my treatment would proceed and an explanation given. Thank you
2020-07-06,MI,NA,2,I was kept up to date by the nurses and they answered all my questions
2020-08-12,CP,AP,-4,"I was left from 6 pm till 6 am and not one nurse came and did obs. Or even just asked if I was ok or needed anything. I have also been left on a ward for 4 days. With really bad tummy pains only to be told by the consultant to go home and manage pain at home. Which if that was the case I could have gone after the first day. The consultant advised she did not want to operate as I have had previous surgery on the same side, she would find it difficult to do the surgery and did not want to. Which I feel very let down by the nhs I have a cyst on my ovaries which is 5cm, been in pain for the last 7days and the consultant advised to manage pain at home , I really don’t see the point in this. I have had a cyst before which raptured after 7 days. So with my past medical history and the nhs website advising cysts that are 5cm or bigger and causing problems should be removed. Why the consultant won’t, I don’t know And if she finds it personally hard then she should have got someone you could do the surgery."
2020-08-03,CR,MI,2,I was looked after and kept informed at all times
2020-06-11,CR,MI,2,I was looked after really well and everything was explained well
2020-07-29,CR,NA,2,I was looked after very well
2020-07-09,CR,NA,2,I was looked after very well by everyone
2020-05-29,DP,CP,-4,"I was looked after very well during the day but had am awful night the first night. I cried all night and repeatedly reported feeling unwell and strange heart rate and breathing. I was not listened to at all and told I was having panic attacks or that I ‘must be anxious’. * was the only person who believed me.  I found this very distressing. It wasn’t until the morning that the day nurses and * from pain team confirmed the erratic heart rate and took me off the epidural. Since then I have been fantastic. I think medical professionals should listen to their patients. I wasn’t having panic attacks, the epidural made me unwell. To be not listened to in this way made my first night post op very traumatic."
2020-07-10,CR,SA,3,I was looked after well and everyone was so welcoming and friendly
2020-04-08,CC,NA,3,I was made to feel nothing was to much trouble with the care I received while I was here.
2020-06-04,TI,NA,-2,I was moved from Southwell to this ward. I didn’t like being in a room on my own and would have preferred to stay where I was
2020-05-26,CC,SA,3,I was on NSPU. Excellent care.  Caring and compassionate staff
2020-07-16,SA,CR,3,I was only in for a day and I knew a lot of the nurses on the ward and they made me feel really welcome an looked after me very well
2020-07-13,SS,NA,2,I was pleased with how the staff was
2020-05-18,CP,DS,4,I was put in a ward and as extremely vulnerable was surprised to find another person just a bed away with difficult respiratory symptoms. I removed myself from that ward.
2020-08-13,DA,MI,3,"I was respected, my questions were answered and staff had time to talk to me. Everyone was gentle and very caring."
2020-06-16,WA,NA,2,I was seen quickly
2020-06-23,DA,MI,3,I was treated with respect and kept fully informed of why they were doing what they had to do.
2020-07-28,DA,SS,3,"I was treated with respect and my dignity was thought of at all times. The staff are fab, not just on the ward but during the whole admission process. I have never had a spinal block before and  was a bit scared but the aneathatist stayed with me throughout the operation. When transported to the ward I felt safe and cared for."
2020-06-15,CC,SS,3,I was very happy about everything and everyone
2020-06-22,CE,SP,3,I was very scared but my nurse looking after me was very calming and reassuring
2020-06-29,SP,CC,3,"I was very scared coming into hospital but once I was admitted on to the ward I found the staff to be very nice and they made me feel better in myself, all my treatment went very well"
2020-06-19,CC,NA,2,I was well looked after
2020-07-23,CC,NA,2,I was well looked after by the nurses.
2020-07-27,CC,SS,3,I would be happy to stay on this ward. Everyone from the top to the bottom gave excellent care.  Thank you 🙏
2020-05-29,CC,NA,2,I would like to stay here.
2020-06-19,SS,NA,3,"I would like to thank all the medical team ,nurses, domestics,TB Nurse and discharge team for helping me through my stay on the ward. It’s been a long journey but I have made it."
2020-07-17,CE,SP,4,I’m Confused but everyone/ thing has been amazing
2020-07-29,SS,NA,3,I’m happy to be going home but I am very grateful to the staff for all they have done during my stay
2020-06-29,SP,NA,2,I’m sure everyone works very hard to look after us
2020-08-13,CM,MM,-4,I’m sure the medical care has been good. (Despite last night when I had to tell the agency nurse omitted the Aciclovir from my drugs and I had to ask for it.)   Communication in general from you has been poor. Eg Surrounding ‘Fluid balance’ some staff seemed to treat it as important and others made me feel that my efforts in this very dehumanising aspect of treatment were a waste of time.  Also 1 particular HCA inspired great anxiety with her inability to either answer a straight questions or say she would ask someone else if she didn’t know the answer.
2020-07-28,SS,NA,4,"I’m very impressed by the way I was treated and cared for the staff very attentive,friendly ,helpful and professional. Everyone was absolutely amazing."
2020-07-08,SS,NA,3,I’ve been a patient three times now and you all do great job
2020-06-15,CC,NA,3,I’ve been in for various reasons and I have benn very happy with my care
2020-06-23,CC,NA,3,I’ve been looked after very well
2020-07-10,CC,SP,2,I’ve been looked after very well. Staff helped me.
2020-06-01,SS,NA,2,I’ve been treated right by staff.
2020-07-13,CC,NA,2,I’ve had quite a good experience in hospital
2020-06-22,SP,CE,4,I’ve never known how hard the staff work to make patients feel so cared and loved for the staff both day and night are amazing and very highly professionals that made my stay in hospital so bareable I feel a million times better than I did when I came into hospital they very quickly diagnosed my illness and very quickly treated me over a week stay in hospital that I was dreading thank you so so much
2020-08-26,CC,SA,2,If gave the answer as I was looked after really well and the staff are kind and helpful.
2020-07-03,SP,CO,2,If I need attention the staff were always around
2020-06-17,SS,NA,2,"If it wasn’t for the staff we wouldn’t get anywhere, they have been good to me whilst here"
2020-07-24,CR,NA,3,"Impeccable service, couldn’t fault it."
2020-08-13,XE,NA,3,Impressed with everything
2020-04-01,SP,NA,3,Impressed with the nursing care and doctors
2020-07-29,SS,NA,3,"In my opinion 95% of staff deserve twice their pay, 5% off staff have forgotten where their compassion and dedication have gone."
2020-07-30,CR,SA,3,In my opinion it’s like home from home anything required is there if it isn’t you only have to ask when doctors and nurses come daily to see you they speak involving you using words and phrases I don’t understand then the doctor will explain in words and phrases I do telling me exactly what has happened and what is going to be done next plus answer any questions I may have at any time along the way then a nurse will return to make sure I’ve understood everything and go over any points I may not be clear about so as I say I know exactly what’s going on and also a nurse will inform my wife and do exactly the same so she is up to date also having her questions answered as I say I’ve been very well looked after like home from home everyone spot on
2020-08-26,MI,NA,-2,In the pre op information it would be good to know that your child will be anaesthetised in theatre so you can prepare them in advance. It was a bit overwhelming.
2020-07-16,CC,NA,4,Incredible experience that I wasn’t expecting.
2020-08-28,EQ,NA,-1,It got a bit boring sometimes tv screens like before?
2020-06-26,CC,SS,3,It is always excellent and fantastic staff
2020-06-01,SA,CS,3,"It was really good apart from being ill. Everyone was caring, really supportive and did their best to get me better"
2020-07-17,CC,SP,3,It was a great service and a pleasure to meet a professional staff
2020-07-13,WA,NA,-1,It was a long wait but it was okay
2020-07-14,WA,NA,1,It was a short stay and I was delt with very quickly
2020-07-10,EE,CO,SS,It was a wonderful ward so bright and clean.the staff were really caring and reassuring when I was a bit tearful
2020-08-26,CC,NA,4,It was all excellent
2020-07-22,CC,NA,3,It was all very good
2020-08-21,CC,NA,2,It was all well done
2020-08-13,CC,SA,2,It was mainly a good experience the nurses were helpful but some not as patient as others
2020-08-26,CC,NA,3,It was perfect for me
2020-08-26,CO,MM,-3,It would have been nice to have someone to speak to
2020-05-28,CO,SA,2,It’s a very welcoming ward lovely staff
2020-08-13,SP,NA,1,"It’s because that doctors, nurses help me"
2020-06-25,CC,NA,2,It’s been very good on here
2020-07-10,DA,NA,-1,"It’s good, the only I don’t like is when I have to go the toilet and be led there by the nurses ."
2020-05-11,CC,NA,1,It’s the best place to be when poorly
2020-06-11,CE,CF,2,"Ive really enjoyed my stay, the meals have been lovely, thank you."
2020-07-13,CC,NA,2,Just a generally all round good service and care
2020-07-21,CC,NA,1,Just been happy on the ward
2020-06-11,XX,NA,0,Just don’t know
2020-08-12,CC,SS,4,"Just too many positive things to list about how wonderful you all are. Heartfelt thank you all everything,truly a very compassionate and kind team. We will miss you all dearly xxxxxxx"
2020-06-01,SA,SP,2,"Just very nice people, able to keep on top of everything"
2020-08-26,CC,NA,2,Keep up the good work
2020-08-27,CC,NA,2,Keep up the good work
2020-06-08,MI,SA,2,Kept informed of delays and caring helpful staff throughout.
2020-07-20,MI,SA,2,"Kept informed, felt comfortable at every stage"
2020-06-16,MI,CP,2,Kept informed. Continuous check backs regarding pain and well being. Friendly personable staff
2020-08-26,MI,CM,-1,"Kept me informed on what was happening and when. The medication could have been processed faster, I’ve waited 8 hours for medication and that is time where I could of been sent home"
2020-07-07,SA,NA,2,Kind and caring
2020-05-21,SA,NA,2,"Kind and supportive, friendly and helpful"
2020-07-17,SA,NA,2,Kind attentive staff
2020-07-21,SA,NA,2,Kind nurses
2020-06-15,SA,CO,2,Kind staff and quick to see to me.
2020-06-01,SA,MM,2,Kindness and care from nurses  Communication   Facilities available
2020-07-06,SA,EC,2,Kindness as I get lots of tea and people ask how I am and listen to me
2020-05-21,CE,SA,2,Knowing staff is there to look after me
2020-05-21,CE,SA,2,Knowing staff is there to look after me
2020-06-15,EC,NA,2,Knowing staff is there to look after me
2020-08-28,XX,NA,0,Let me drive the Tesla
2020-08-19,ML,MM,-4,"Listen, listeners, listening, lot of people who are seemingly doing the 3 L above don’t. I found i would ask a question, that was ignored they were just thinking of theIr next question time and time again, I would for once love a straight answer, also lack of the left hand not knowing what the right hands doing"
2020-07-30,WA,NA,-2,Long wait
2020-06-26,CC,NA,2,Looked after all the time
2020-08-07,CC,NA,2,Looked after and cared for very well
2020-08-11,CC,MI,3,Looked after brilliantly very satisfied with doctors and nurses  They will explain everything Well informed
2020-07-20,CC,NA,2,Looked after me very well
2020-08-10,CC,DA,2,Looked after my dad with care and respect
2020-08-26,CR,DS,NA,Looked after on ward care from the doctors and nurses was good and I felt safe and comfortable during my stay
2020-06-09,CC,SP,2,Looked after quickly and efficiently
2020-05-22,CC,NA,3,Looked after very well
2020-06-30,CC,NA,2,Looked after very well
2020-07-22,CC,NA,2,Looked after very well
2020-07-13,CC,DS,2,Looked after very well by doctors and nurses. Felt in safe hands.
2020-06-15,CC,NA,2,Looked after very well by the nurses
2020-06-01,CC,NA,2,Looked after well by the nurses
2020-08-03,CC,NA,2,Looked after well on here
2020-08-10,SL,EF,3,"Lots of staff, nice meals."
2020-07-06,EF,NA,1,Lots of tea and biscuits
2020-06-11,CC,NA,3,Love it here
2020-06-19,CC,NA,3,Love it here
2020-06-25,EQ,NA,1,Love the bright decorations so colourful and really cheers me up. Wish all wards were the same
2020-08-14,SS,CC,2,Loved * he really looked after me
2020-07-28,SA,NA,1,Lovely
2020-04-14,SA,CC,3,Lovely and looked after me and made me better
2020-07-10,SA,NA,2,Lovely caring staff
2020-06-08,SA,NA,2,Lovely friendly nurses
2020-06-15,SA,CC,2,Lovely friendly staff. Good care
2020-05-22,SA,NA,2,Lovely ladies care 100%
2020-05-29,SA,NA,2,Lovely nurses
2020-07-15,SA,NA,2,Lovely nurses
2020-05-18,SA,NA,2,Lovely staff
2020-06-12,SA,NA,2,Lovely staff
2020-06-29,SA,NA,2,Lovely staff
2020-07-01,SA,NA,2,Lovely staff
2020-07-09,SA,NA,2,Lovely staff
2020-07-17,SA,NA,2,Lovely staff
2020-07-17,SA,NA,2,Lovely staff
2020-07-29,SA,NA,2,Lovely staff
2020-08-11,SA,NA,2,Lovely staff
2020-07-02,SA,CE,2,Lovely staff and made you feel welcome.
2020-08-12,SA,NA,2,Lovely staff but just wanted to go home
2020-06-25,SA,NA,3,Lovely staff couldn’t ask for better
2020-06-02,SA,NA,2,Lovely staff good care not enough tea
2020-08-12,SA,NA,2,Lovely staff nice stay with things to do
2020-08-17,SA,NA,2,Lovely staff nothing too much trouble
2020-05-29,SA,NA,2,Lovely staff on the ward
2020-06-15,SA,NA,2,"Lovely staff,"
2020-07-24,SA,NA,2,"Lovely staff, so patient and kind"
2020-06-10,SA,NA,2,"Lovely staff,very welcoming"
2020-07-10,SA,NA,2,Lovely staff.
2020-05-29,SA,DS,2,Lovely staff. Always around so you feel safe
2020-05-26,CC,NA,1,Lovely ward
2020-05-29,CC,NA,1,Lovely ward
2020-06-12,CC,NA,1,Lovely ward
2020-06-17,CC,NA,1,Lovely ward
2020-06-25,CC,NA,1,Lovely ward
2020-06-29,CC,NA,1,Lovely ward
2020-06-29,CC,NA,1,Lovely ward
2020-07-02,CC,NA,1,Lovely ward
2020-07-28,CC,NA,1,Lovely ward
2020-07-09,CC,SA,1,Lovely ward and caring staff
2020-06-26,CC,SS,2,Lovely ward and fantastic staff
2020-06-04,CC,SS,1,Lovely ward and team
2020-07-16,CC,SA,2,Lovely ward and very caring staff
2020-08-14,CC,NA,2,Lovely ward it really is
2020-08-17,CC,SA,1,Lovely ward lovely people
2020-07-20,CC,NA,2,Lovely ward well looked after
2020-07-23,SA,NA,1,Lovey staff
2020-05-06,CE,SA,3,made me feel so well and all staff very friendly
2020-06-10,DA,CE,1,Made me feel welcome
2020-07-30,CE,MI,2,Made to feel relaxed and was informed of everythin* that is happening in detail
2020-07-10,DS,CE,3,Made to feel safe & welcome. Everyone friendly.
2020-05-14,DS,NA,3,Made to feel very safe
2020-05-27,SA,NA,3,Made very welcome the staff was excellent friendly 100% professional
2020-07-15,CC,NA,2,Marvellous ward
2020-07-30,EF,NA,-1,Maybe you could have had more tea trolleys!
2020-04-02,CC,NA,3,Me and my baby was looked after really well
2020-06-17,SS,NA,1,Members of staff
2020-07-08,CR,NA,3,Most aspects of care were perfect
2020-08-12,SA,EC,3,"Most of the staff where warm and friendly, which you need at a time like this, especially *, really was great 👍  credit to you team.  Cleanliness was pretty good, change of water needs to be done more, as on my first day I got my jug at 10.30 am and it didnt get changed until I asked at 11pm and that day it was 34oc but overall was happy 👍 with everything, especially staff"
2020-07-28,SA,EC,4,Most people (a few in particular) has been so friendly and caring. They have made me feel at ease when I have been frightened and managed to make me smile even if I didn’t feel like it.
2020-08-06,SA,NA,3,Most staff very pleasant from nurses to recepionist
2020-07-17,CC,NA,1,Mostly went well
2020-05-26,CC,NA,2,Mum received excellent care while on ward
2020-08-13,CC,NA,1,Mum was looked after well but I would have liked to be able to visit more but I do understand
2020-05-13,CC,SA,4,My care has been excellent. Everyone involved was lovely
2020-08-10,CC,NA,2,My care was great really well looked after.
2020-08-19,SS,NA,3,My Consultant M* * has been amazing
2020-08-14,SP,NA,3,My father can be very difficult- ward went excellent
2020-07-24,SP,CO,3,My leg was very sore and painful and the nurses were so gentle and lovely when they washed me and also very chatty and kind
2020-07-21,CC,SA,3,My name is * * l found my stay excellent whilst I was recovering the staff are worth the weight in gold and I felt like the queen they deserve more money thanks a lot to you all I going to miss you all yours sincerely * * 🥰🥰🥰🥰
2020-05-29,SA,EQ,2,"My nurse * *'s was fantastic. She was caring and a pleasure to talk too. The ward is nicely decorated in colourful pictures and it gives a happy feeling to the ward. I was a new patient coming to the ward, so I was a bit nervous but it’s so welcoming and the staff are all lovely"
2020-06-19,CF,SA,3,My son had an urgent operation and was a long surgery and was the only person on the ward all day they was fantastic with me.
2020-08-17,CR,SA,2,My son has been look after really well and the staff have been supportive
2020-07-29,CC,SA,3,"My stay has been excellent, all the staff have been very helpful especially *."
2020-06-22,CE,CR,2,My stay was very relaxed and I was very well cared for
2020-08-26,CM,WB,-1,My tablets took awhile to come from pharmacy.
2020-06-25,WA,NA,-2,"My treatment wasn’t ready on time, I know they’re busy but it would be nice to not wait"
2020-07-30,WA,NA,-1,"My visits haven’t been too bad, just a lot of waiting around. Other than that no problems at all."
2020-06-11,CC,NA,1,My whole experience was good under my current situation
2020-05-27,CF,NA,4,My wife is dying and I appreciate being allowed to see her in her last days
2020-08-19,XX,NA,0,N/a
2020-08-19,XX,NA,0,N/a
2020-08-26,XX,NA,0,N/a
2020-06-29,CC,NA,4,Never been so well looked after.
2020-06-09,CC,NA,2,Never expected to have such extra care given to me
2020-07-27,WA,NA,2,Never have to wait to be seen - treatment here already always great
2020-07-17,CC,SA,3,"NHS at its best ..all care throughout my stay brilliant. Cheerful,smiling faces, with high level professional."
2020-08-12,SS,NA,3,Nhs should be proud of all their doctors and nurses for all the excellent care
2020-05-27,EC,NA,1,Nice clean and welcoming ward
2020-07-09,EC,SA,2,Nice clean ward staff all very friendly and helpful was looked after very well
2020-06-03,EE,SA,1,Nice environment and staff
2020-08-14,SA,NA,1,Nice nurses and kind
2020-04-03,SA,NA,2,Nice people
2020-08-10,SA,NA,1,Nice people.
2020-08-13,EC,SA,1,Nice relaxed atmosphere also staff amazing
2020-05-18,SA,NA,1,Nice staff
2020-06-30,SA,NA,1,Nice staff
2020-07-01,SA,NA,1,Nice staff
2020-07-02,SA,NA,1,Nice staff
2020-07-08,SA,NA,1,Nice staff
2020-08-12,SA,NA,1,Nice staff
2020-08-18,SA,NA,1,Nice staff
2020-08-21,SA,EF,1,Nice staff  food
2020-05-26,SA,EF,1,Nice staff food was lovely
2020-05-26,SA,NA,2,Nice staff very positive during the COVID
2020-04-22,CC,NA,1,Nice ward
2020-08-05,CC,NA,1,Nice ward
2020-05-18,SA,NA,2,Nice ward and staff
2020-04-03,SA,NA,2,Nice ward nice staff
2020-07-27,CC,SA,1,Nice ward pleasant nurses and staff
2020-08-26,EC,EF,3,Nice ward was clean and tidy. Toilets was clean and the bay in general. Food pleasantly nice for hospital food. Nurses was quite smiley and all seemed to get on. Good care from my nurses.
2020-04-22,XN,NA,1,No
2020-05-13,XN,NA,1,No
2020-07-24,XN,NA,1,No
2020-08-18,XN,NA,1,No
2020-08-18,XN,NA,1,No
2020-08-18,XN,NA,1,No
2020-08-19,XN,NA,1,No
2020-08-21,XN,NA,1,No
2020-08-21,XN,NA,1,No
2020-08-20,XN,NA,1,No
2020-08-21,XN,NA,1,No
2020-08-21,XN,NA,1,No
2020-08-26,XN,NA,1,No
2020-08-26,XN,NA,1,No
2020-08-26,XN,NA,1,No
2020-08-26,XN,NA,1,No
2020-08-26,XN,NA,1,No
2020-08-28,XN,NA,1,No
2020-08-28,XN,NA,1,No
2020-08-27,XN,NA,1,No
2020-08-28,XN,NA,1,No
2020-06-25,SS,NA,3,No all the doctors and nurses and staff are brilliant everyone of them
2020-08-18,XX,NA,0,No answer given
2020-08-19,XE,NA,3,No been happy with everything
2020-06-18,XE,NA,3,No complaints about anything
2020-07-17,XE,NA,3,No everything was fine no problem
2020-06-09,XE,NA,3,No grumbles from me.
2020-08-26,XE,NA,2,No issues 👍
2020-08-20,XE,NA,2,No it’s all nice
2020-08-18,XE,NA,2,No not really
2020-08-19,XE,NA,3,No nothing
2020-08-26,XE,NA,3,No nothing
2020-06-10,XX,NA,0,No ones annoying to him
2020-06-17,XE,CE,3,"No problems, felt looked after"
2020-08-26,SS,NA,2,No you were great
2020-07-15,XE,NA,2,No.
2020-08-19,XN,NA,1,None
2020-08-26,XN,NA,1,None
2020-08-27,XN,NA,1,None
2020-08-21,XN,NA,1,Not alot
2020-08-19,XE,NA,2,Not as far as I was concerned
2020-06-11,XN,NA,1,Not bothered
2020-08-26,XE,NA,3,Not really been happy with everything
2020-08-19,XE,NA,2,Not that I can think of
2020-04-01,XN,NA,3,Nothing
2020-07-20,XN,NA,3,Nothing
2020-08-03,XN,NA,3,Nothing
2020-08-05,XN,NA,3,Nothing
2020-08-06,XN,NA,3,Nothing
2020-08-11,XN,NA,3,Nothing
2020-08-13,XN,NA,3,Nothing
2020-08-18,XN,NA,3,Nothing
2020-08-18,XN,NA,3,Nothing
2020-08-18,XN,NA,3,Nothing
2020-08-18,XN,NA,3,Nothing
2020-08-19,XN,NA,3,Nothing
2020-08-19,XN,NA,3,Nothing
2020-08-19,XN,NA,3,Nothing
2020-08-19,XN,NA,3,Nothing
2020-08-19,XN,NA,3,Nothing
2020-08-19,XN,NA,3,Nothing
2020-08-20,XN,NA,3,Nothing
2020-08-20,XN,NA,3,Nothing
2020-08-20,XN,NA,3,Nothing
2020-08-20,XN,NA,3,Nothing
2020-08-20,XN,NA,3,Nothing
2020-08-20,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-21,XN,NA,3,Nothing
2020-08-21,XN,NA,3,Nothing
2020-08-21,XN,NA,3,Nothing
2020-08-21,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-26,XN,NA,3,Nothing
2020-08-28,XN,NA,3,Nothing
2020-08-28,XN,NA,3,Nothing
2020-08-28,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-27,XN,NA,3,Nothing
2020-08-28,XN,NA,3,Nothing
2020-08-28,XN,NA,3,Nothing
2020-08-28,XN,NA,3,Nothing
2020-08-28,XN,NA,3,Nothing
2020-07-14,CR,SP,3,Nothing a brilliant ward the nursing staff work extremely hard
2020-08-14,XN,CR,3,Nothing all my needs were catered for.
2020-08-28,XN,SA,3,Nothing all nurses helped me with my needs
2020-06-10,SS,NA,3,Nothing as all Ward staff was brilliant
2020-08-18,XN,NA,3,Nothing at all
2020-08-19,XN,NA,3,Nothing at all
2020-08-20,XN,NA,3,Nothing at all
2020-08-26,XN,NA,3,Nothing at all
2020-08-28,XN,NA,3,Nothing at all
2020-08-20,XN,NA,3,Nothing at all. Everything was perfect.
2020-08-26,XN,SP,3,"Nothing at all. The team on XXX are one of a kind, they were so closely together to decipher the best professional and personalised care.they supported e emotionally and physically. It’s the best ward in the hospital it’s home from home where I feel safe"
2020-08-26,XN,NA,3,Nothing been happy with everything
2020-08-26,XN,NA,3,Nothing been happy with everything
2020-07-15,XN,NA,3,Nothing better could have been done thank you
2020-05-22,CC,SS,3,"Nothing care was amazing, staff amazing thank you 😀"
2020-08-27,XN,NA,3,"Nothing could be better, thank you"
2020-07-27,XN,NA,3,Nothing could be done better. Service was exceptional.
2020-04-06,XN,NA,3,Nothing else was perfect
2020-05-22,SA,NA,2,Nothing everyone was lovely
2020-08-21,XE,NA,3,Nothing everything good
2020-08-18,XE,NA,3,Nothing everything was perfect
2020-08-13,XE,NA,3,Nothing everything was spot on
2020-08-27,XE,NA,3,Nothing excellent service
2020-08-26,XE,NA,3,Nothing I can think of.
2020-07-17,XE,CC,4,Nothing I have received the very best care and I will always be so grateful to our wonderful nhs.
2020-08-26,XE,NA,3,Nothing I was entirely happy with my experience during my stay
2020-07-22,SA,CE,3,"Nothing is a problem, all of the staff are friendly and approachable. They make you feel at ease"
2020-05-14,SA,CC,3,Nothing is to much trouble and the care is excellent
2020-06-16,SS,NA,2,Nothing is too much for the staff
2020-08-19,XN,NA,3,Nothing it was perfect
2020-08-26,XN,NA,3,Nothing it’s been perfect
2020-08-03,CC,CO,2,Nothing perfect care from start to finish my first time staying in hospital I was so nervous but all staff treated me like family. Thank you F22
2020-08-21,XN,NA,3,Nothing really
2020-08-12,XN,SS,3,Nothing serious and staff were first class.  Thank you all
2020-08-26,XN,NA,3,Nothing that I can think of
2020-08-05,XN,SS,3,Nothing the staff was extremely good
2020-08-26,XN,SS,3,Nothing they are amazing
2020-08-19,XN,CO,3,Nothing they hurry to help'
2020-05-20,SA,NA,2,Nothing too much trouble
2020-07-06,XN,SA,3,Nothing too much trouble for anyone all staff lovely
2020-05-29,XN,SA,3,Nothing too much trouble for staff
2020-08-28,XN,NA,3,nothing was all good
2020-07-15,XN,NA,3,Nothing was ok
2020-07-06,XN,SS,3,Nothing was too much trouble they were all very kind and caring. I have nothing but praise to say for each one of them and a big thank you
2020-06-25,XN,NA,3,Nothing was too much trouble
2020-07-22,XN,NA,3,Nothing was too much trouble from start to finish.
2020-06-16,XN,CP,3,"Nothing was too much trouble, made my stay so much easier. Managed my pain when I needed it. Thank you"
2020-08-05,XN,SA,3,Nothing well organised delightful nursing staff nothing was too much trouble
2020-06-16,XN,NA,3,Nothing went wrong and everyone was nice
2020-08-06,XN,NA,3,Nothing whole ward and team great as usual thank you
2020-05-13,XN,NA,3,Nothing wrong
2020-07-27,XN,SA,3,Nothing you been fantastic great staff friendly
2020-08-21,XN,NA,3,"Nothing, a great experience"
2020-07-10,XE,NA,3,"Nothing, been pleased with everything"
2020-08-18,XN,NA,3,Nothing.
2020-08-21,XN,NA,3,Nothing.
2020-08-18,XN,NA,3,Nothing. Best ward I’ve been in.
2020-08-18,SP,CL,4,Nothing. Could not have been cared for any better by a staff of lovely nurses and doctors. I owe my life to them
2020-08-26,XE,NA,3,Nothing.... nothing better they can do to improve. Already great
2020-08-26,XN,NA,3,Nothing😊
2020-07-02,SS,NA,2,Nurse are always excellent and a a marvellous job.
2020-06-26,SA,NA,2,Nurse so nice fully supportive
2020-07-20,SS,NA,1,Nurses
2020-07-20,SS,NA,1,Nurses
2020-07-30,SS,NA,1,Nurses
2020-08-03,SS,NA,1,Nurses
2020-08-03,SS,NA,1,Nurses
2020-08-03,SS,NA,1,Nurses
2020-06-22,SS,CC,3,Nurses  Doctors and staff were amazing  The best hospital I have stayed
2020-07-06,SS,NA,2,Nurses always thinking of me
2020-05-18,SS,NA,2,Nurses and all staff
2020-08-03,SS,NA,2,Nurses and all staff
2020-08-17,SS,NA,2,Nurses and all staff
2020-04-27,SS,NA,3,Nurses and careers have been amazing  Very helpful Nothing is too much trouble
2020-07-09,SS,NA,4,Nurses and doctors and all support staff were amazing
2020-08-14,SA,NA,2,Nurses and doctors kind and sweet
